model,method,feature_set,params,subset,rows,cluster_count,largest_cluster_share,cluster_size_entropy,ari,ami,nmi,homogeneity,completeness,v_measure,pairwise_precision,pairwise_recall,pairwise_f1,pairwise_total_pairs,pairwise_model_positive_pairs,pairwise_label_positive_pairs,pairwise_true_positive,pairwise_false_positive,pairwise_false_negative,pairwise_true_negative
old_leiden,leiden,dense_bge_pca,k=30;resolution=1.0;seed=42,all,5509,12,0.204574332909784,3.306982471942963,0.19667260190427993,0.30385474060613765,0.310894751776334,0.2727687545925535,0.3614105766054258,0.310894751776334,0.2297050701876919,0.37402675757357035,0.28461591272768244,15171786,1759639,1080666,404198,1355441,676468,12735679
old_leiden,leiden,dense_bge_pca,k=30;resolution=1.0;seed=42,excluding_other,5509,12,0.204574332909784,3.306982471942963,0.19667260190427993,0.30385474060613765,0.310894751776334,0.2727687545925535,0.3614105766054258,0.310894751776334,0.2297050701876919,0.37402675757357035,0.28461591272768244,15171786,1759639,1080666,404198,1355441,676468,12735679
old_leiden,leiden,dense_bge_pca,k=30;resolution=1.0;seed=42,single_clear_label,4921,12,0.2042267831741516,3.309979459673075,0.22198391646328255,0.3303037223233825,0.3379608488103374,0.2978581450331668,0.3905422559848283,0.3379608488103374,0.216272938477721,0.41263593611224425,0.28379941842189466,12105660,1398469,732973,302451,1096018,430522,10276669
cluster_leiden_tuned,leiden,hybrid_dense_lexical_dw0.75_lw0.25,k=75;resolution=2.0;seed=7,all,5509,20,0.12906153566890544,4.1162995996916205,0.2768398283612387,0.3771557986073597,0.3870974267318269,0.3753760324047868,0.399574434053087,0.38709742673182684,0.3518516488608496,0.3267309233380156,0.3388263088979487,15171786,1003511,1080666,353087,650424,727579,13440696
cluster_leiden_tuned,leiden,hybrid_dense_lexical_dw0.75_lw0.25,k=75;resolution=2.0;seed=7,excluding_other,5509,20,0.12906153566890544,4.1162995996916205,0.2768398283612387,0.3771557986073597,0.3870974267318269,0.3753760324047868,0.399574434053087,0.38709742673182684,0.3518516488608496,0.3267309233380156,0.3388263088979487,15171786,1003511,1080666,353087,650424,727579,13440696
cluster_leiden_tuned,leiden,hybrid_dense_lexical_dw0.75_lw0.25,k=75;resolution=2.0;seed=7,single_clear_label,4921,20,0.12924202397886608,4.1147610693100445,0.31048011971635175,0.4090998832011719,0.4197839448732644,0.40889358799362324,0.43127027617569613,0.4197839448732644,0.33900809777236374,0.3705675379584241,0.35408599115749706,12105660,801208,732973,271616,529592,461357,10843095
cluster_kmeans_best,kmeans,hybrid_dense_lexical_dw0.75_lw0.25,n_clusters=25,all,5509,25,0.06008349972771828,4.585402577922535,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.3207445489841763,0.30649256497927024,0.3134566413013894,0.29877937329796533,0.18000288710850532,0.22465807215348857,15171786,651059,1080666,194523,456536,886143,13634584
cluster_kmeans_best,kmeans,hybrid_dense_lexical_dw0.75_lw0.25,n_clusters=25,excluding_other,5509,25,0.06008349972771828,4.585402577922535,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.3207445489841763,0.30649256497927024,0.3134566413013894,0.29877937329796533,0.18000288710850532,0.22465807215348857,15171786,651059,1080666,194523,456536,886143,13634584
cluster_kmeans_best,kmeans,hybrid_dense_lexical_dw0.75_lw0.25,n_clusters=25,single_clear_label,4921,25,0.06116642958748222,4.581035431056182,0.1983460064989962,0.3275159577462135,0.34211704355296707,0.3516197567868387,0.33311444629803205,0.34211704355296707,0.2869729642742195,0.20436359865915935,0.2387236453433566,12105660,521976,732973,149793,372183,583180,11000504
cluster_agglomerative_best,agglomerative,dense_bge_pca,n_clusters=25;linkage=average,all,5509,25,0.17353421673624977,3.9318944406867895,0.1680633436955144,0.2824890058749264,0.29714075752824415,0.2818905768376925,0.314135370153754,0.2971407575282442,0.21796452573921815,0.27514051520081134,0.24323771581431686,15171786,1364144,1080666,297335,1066809,783331,13024311
cluster_agglomerative_best,agglomerative,dense_bge_pca,n_clusters=25;linkage=average,excluding_other,5509,25,0.17353421673624977,3.9318944406867895,0.1680633436955144,0.2824890058749264,0.29714075752824415,0.2818905768376925,0.314135370153754,0.2971407575282442,0.21796452573921815,0.27514051520081134,0.24323771581431686,15171786,1364144,1080666,297335,1066809,783331,13024311
cluster_agglomerative_best,agglomerative,dense_bge_pca,n_clusters=25;linkage=average,single_clear_label,4921,25,0.17150985572038205,3.9225356041499593,0.19037068843943955,0.30808277677226614,0.3239384851277061,0.30836065353274844,0.341173987999925,0.3239384851277062,0.20810566247868303,0.30999914048675736,0.24903292202493718,12105660,1091854,732973,227221,864633,505752,10508054
final,leiden,hybrid_dense_lexical_dw0.75_lw0.25,k=75;resolution=2.0;seed=7,all,5509,20,0.12906153566890544,4.1162995996916205,0.2768398283612387,0.3771557986073597,0.3870974267318269,0.3753760324047868,0.399574434053087,0.38709742673182684,0.3518516488608496,0.3267309233380156,0.3388263088979487,15171786,1003511,1080666,353087,650424,727579,13440696
final,leiden,hybrid_dense_lexical_dw0.75_lw0.25,k=75;resolution=2.0;seed=7,excluding_other,5509,20,0.12906153566890544,4.1162995996916205,0.2768398283612387,0.3771557986073597,0.3870974267318269,0.3753760324047868,0.399574434053087,0.38709742673182684,0.3518516488608496,0.3267309233380156,0.3388263088979487,15171786,1003511,1080666,353087,650424,727579,13440696
final,leiden,hybrid_dense_lexical_dw0.75_lw0.25,k=75;resolution=2.0;seed=7,single_clear_label,4921,20,0.12924202397886608,4.1147610693100445,0.31048011971635175,0.4090998832011719,0.4197839448732644,0.40889358799362324,0.43127027617569613,0.4197839448732644,0.33900809777236374,0.3705675379584241,0.35408599115749706,12105660,801208,732973,271616,529592,461357,10843095
