subset,rows,cluster_count,largest_cluster_share,cluster_size_entropy,ari,ami,nmi,homogeneity,completeness,v_measure,pairwise_precision,pairwise_recall,pairwise_f1,pairwise_total_pairs,pairwise_model_positive_pairs,pairwise_label_positive_pairs,pairwise_true_positive,pairwise_false_positive,pairwise_false_negative,pairwise_true_negative,experiment,backend,method,params,k,resolution,seed,modularity,selected,split,selection_score
validation_selection,1102,16,0.12613430127041741,3.8297125590434686,0.4055465943384823,0.4275055713778179,0.4659970695698186,0.43670568572396773,0.4995003093257335,0.4659970695698186,0.4420869340900297,0.484783479880248,0.462451792801808,606651,46518,42421,20565,25953,21856,538277,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=30;resolution=2.0;seed=42,30,2.0,42,0.6314889042597002,True,validation_selection,0.4642244311858133
validation_selection,1102,14,0.13702359346642468,3.5756564734177436,0.3799604025406981,0.4188154308596407,0.45336491768275705,0.41172032367802547,0.5043820377450603,0.453364917682757,0.3939334463377643,0.5204497772329743,0.44843905510531556,606651,56045,42421,22078,33967,20343,530263,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=75;resolution=2.0;seed=42,75,2.0,42,0.597966670862678,False,validation_selection,0.4509019863940363
validation_selection,1102,14,0.13157894736842105,3.5990572944558004,0.3738784538669546,0.4156305325830827,0.45047484958201583,0.41029898506041634,0.4993726771504422,0.45047484958201583,0.392090004011524,0.5068951698451238,0.4421619732066664,606651,54842,42421,21503,33339,20918,530891,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=50;resolution=2.0;seed=42,50,2.0,42,0.6201545074342811,False,validation_selection,0.44631841139434114
validation_selection,1102,12,0.1424682395644283,3.407804895434316,0.3622825249758528,0.4126333967062399,0.4430972096767806,0.3939062880279168,0.506327231456759,0.4430972096767806,0.36959309214263686,0.5367860257891138,0.4377691479544756,606651,61611,42421,22771,38840,19650,525390,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=30;resolution=1.5;seed=42,30,1.5,42,0.6534246987400184,False,validation_selection,0.4404331788156281
validation_selection,1102,13,0.1397459165154265,3.4433073844428765,0.3620034109250732,0.4113998081033424,0.4439279882794065,0.39644382471932743,0.5043348248012259,0.4439279882794065,0.36886064754917214,0.5309398646896584,0.43530275796756923,606651,61061,42421,22523,38538,19898,525692,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=50;resolution=1.5;seed=42,50,1.5,42,0.6270965000391617,False,validation_selection,0.43961537312348786
validation_selection,1102,12,0.14337568058076225,3.328980330058671,0.34815905345748094,0.3948919617801969,0.4254444867709304,0.37438539432354717,0.4926298943768556,0.4254444867709305,0.35102229766221743,0.5362438414935998,0.42430007647398954,606651,64805,42421,22748,42057,19673,522173,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=75;resolution=1.5;seed=42,75,1.5,42,0.6096398060166073,False,validation_selection,0.42487228162246005
validation_selection,1102,10,0.16333938294010888,3.16423969618545,0.32646304388876285,0.3882315805905444,0.4150321471204161,0.35741827877695814,0.49478950441854097,0.4150321471204162,0.3282537923391286,0.5585676905306334,0.4135036560040486,606651,72185,42421,23695,48490,18726,515740,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=30;resolution=1.0;seed=42,30,1.0,42,0.6585220330207358,False,validation_selection,0.41426790156223237
validation_selection,1102,10,0.16243194192377494,3.167549333465917,0.324315477436293,0.3801748382104619,0.407333331617241,0.350942078052948,0.4853166040398948,0.407333331617241,0.32698699673179893,0.5542537893967611,0.4113150114584609,606651,71905,42421,23512,48393,18909,515837,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=50;resolution=1.0;seed=42,50,1.0,42,0.6360369948560567,False,validation_selection,0.40932417153785094
validation_selection,1102,8,0.1705989110707804,2.9539931909153267,0.3020678172512273,0.36587088126019157,0.3880813241950903,0.3248953070816068,0.48177808671735717,0.38808132419509034,0.2994290150509629,0.5637066547228967,0.3911091484507249,606651,79862,42421,23913,55949,18508,508281,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=75;resolution=1.0;seed=42,75,1.0,42,0.6174736212074317,False,validation_selection,0.3895952363229076
holdout,1102,16,0.12341197822141561,3.8605479197372174,0.3501475307106389,0.3899674958343634,0.43092928430382293,0.40533344646737884,0.45997564639522054,0.43092928430382293,0.4018595732346318,0.4271460397212874,0.4141171604838988,606651,44849,42194,18023,26826,24171,537631,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=30;resolution=2.0;seed=42,30,2.0,42,0.6314889042597002,True,holdout,0.42252322239386086
full_corpus_label_guided,5509,16,0.12143764748593211,3.844611402726479,0.40298367821742226,0.42667233743037564,0.4340808197949147,0.4074789837406587,0.4643985925272103,0.43408081979491464,0.44920393744087195,0.47848271343782445,0.46338129080563445,15171786,1151103,1080666,517080,634023,563586,13457097,semi_supervised_embedding,torch_linear_projection_contrastive,leiden,k=30;resolution=2.0;seed=42,30,2.0,42,0.6314889042597002,True,full_corpus_label_guided,0.4487310553002746
