tag_raw,count,share
девушки,335,0.06080958431657288
муж и жена,263,0.04774006171719005
о жизни,232,0.042112906153566894
вовочка,219,0.039753131239789435
студент,214,0.03884552550372118
работа,202,0.03666727173715738
мужчины,187,0.033944454528952624
Путин,168,0.030495552731893267
политика,155,0.028135777818115812
врачи,151,0.02740969322926121
гаи,144,0.026139045198765656
интернет,135,0.024505354873842804
дети,131,0.0237792702849882
Украина,120,0.021782537665638046
авто,119,0.021601016518424398
новогодний,105,0.01905972045743329
коронавирус,102,0.01851515701579234
деньги,98,0.017789072426937738
Одесса,95,0.017244508985296787
звёзды,85,0.015429297513160283
Рабинович,77,0.01397712833545108
школа,76,0.01379560718823743
секс,73,0.013251043746596478
спорт,73,0.013251043746596478
кошки,71,0.012888001452169178
водка,70,0.012706480304955527
авиация,68,0.012343438010528226
тв,66,0.011980395716100926
коррупция,55,0.00998366309675077
погода,53,0.009620620802323471
объявления,51,0.00925757850789617
русский язык,50,0.009076057360682519
сигареты,48,0.00871301506625522
Медведев,48,0.00871301506625522
армия,48,0.00871301506625522
блондинки,47,0.008531493919041568
реклама,46,0.008349972771827918
мобильный,45,0.008168451624614267
отдых,45,0.008168451624614267
футбол,45,0.008168451624614267
пенсионеры,44,0.007986930477400617
Дед Мороз,43,0.0078054093301869664
новые русские,43,0.0078054093301869664
windows,40,0.0072608458885460156
диета,40,0.0072608458885460156
программист,39,0.007079324741332365
фильмы,39,0.007079324741332365
Ржевский,37,0.006716282446905065
Москва,37,0.006716282446905065
чапаев,35,0.0063532401524777635
космос,33,0.005990197858050463
наркотики,33,0.005990197858050463
аптека,32,0.005808676710836813
соседи,31,0.005627155563623162
милиция,30,0.0054456344164095115
геи,30,0.0054456344164095115
поезд,29,0.005264113269195862
кино,29,0.005264113269195862
налоги,28,0.005082592121982211
Шерлок Холмс,28,0.005082592121982211
собаки,27,0.0049010709747685606
свадьба,27,0.0049010709747685606
такси,27,0.0049010709747685606
тёща,27,0.0049010709747685606
смс,27,0.0049010709747685606
приметы,26,0.00471954982755491
парашют,26,0.00471954982755491
Штирлиц,26,0.00471954982755491
кризис,24,0.00435650753312761
любовь,23,0.004174986385913959
санкции,22,0.0039934652387003085
Трамп,22,0.0039934652387003085
автобус,22,0.0039934652387003085
кредиты,22,0.0039934652387003085
Сочи 2014,21,0.0038119440914866584
Винни-Пух,20,0.0036304229442730078
лифт,20,0.0036304229442730078
пиво,20,0.0036304229442730078
пошлые,19,0.0034489017970593576
apple,18,0.003267380649845707
тараканы,18,0.003267380649845707
чукча,18,0.003267380649845707
армянское радио,18,0.003267380649845707
юмор,18,0.003267380649845707
Буратино,17,0.0030858595026320565
Абрамович,17,0.0030858595026320565
золотая рыбка,17,0.0030858595026320565
нанотехнологии,16,0.0029043383554184063
сбербанк,16,0.0029043383554184063
Билл Гейтс,16,0.0029043383554184063
метро,16,0.0029043383554184063
Челябинск,15,0.0027228172082047557
таможня,15,0.0027228172082047557
рыбалка,15,0.0027228172082047557
почта,15,0.0027228172082047557
животные,15,0.0027228172082047557
инструкции,14,0.0025412960609911056
Иван-царевич,14,0.0025412960609911056
грипп,14,0.0025412960609911056
британские ученые,14,0.0025412960609911056
демократия,14,0.0025412960609911056
8 марта,14,0.0025412960609911056
фсб,14,0.0025412960609911056
Красная Шапочка,13,0.002359774913777455
жкх,13,0.002359774913777455
23 февраля,13,0.002359774913777455
сантехник,12,0.002178253766563805
Колобок,12,0.002178253766563805
бесплатное,12,0.002178253766563805
Муму,12,0.002178253766563805
маршрутка,11,0.0019967326193501543
Обама,11,0.0019967326193501543
охота,11,0.0019967326193501543
ии,11,0.0019967326193501543
конец света,11,0.0019967326193501543
Валуев,10,0.0018152114721365039
пасха,10,0.0018152114721365039
егэ,10,0.0018152114721365039
Навальный,10,0.0018152114721365039
дача,10,0.0018152114721365039
пожарный,10,0.0018152114721365039
Березовский,9,0.0016336903249228535
троллейбус,9,0.0016336903249228535
война,9,0.0016336903249228535
Карлсон,9,0.0016336903249228535
Пушкин,9,0.0016336903249228535
Сталин,8,0.0014521691777092032
Чебурашка,8,0.0014521691777092032
трамвай,8,0.0014521691777092032
Брежнев,8,0.0014521691777092032
богатыри,8,0.0014521691777092032
мультфильмы,7,0.0012706480304955528
хоккей,7,0.0012706480304955528
цитаты,7,0.0012706480304955528
веган,7,0.0012706480304955528
Прохоров,6,0.0010891268832819024
1 апреля,6,0.0010891268832819024
Вконтакте,6,0.0010891268832819024
покемоны,6,0.0010891268832819024
брюнетки,6,0.0010891268832819024
Куклачев,6,0.0010891268832819024
Гарри Поттер,5,0.0009076057360682519
трактор,5,0.0009076057360682519
Адам и Ева,4,0.0007260845888546016
семья,4,0.0007260845888546016
Каренина,4,0.0007260845888546016
Донцова,4,0.0007260845888546016
Мазай,3,0.0005445634416409512
14 февраля,3,0.0005445634416409512
Чак Норрис,3,0.0005445634416409512
Хоттабыч,3,0.0005445634416409512
Сусанин,2,0.0003630422944273008
твиттер,2,0.0003630422944273008
Онищенко,2,0.0003630422944273008
ммм,2,0.0003630422944273008
Перельман,2,0.0003630422944273008
telegram,2,0.0003630422944273008
Баба-Яга,2,0.0003630422944273008
