macro_tag,count_before,share_before,count_after,share_after,count_delta,share_delta
other,1830.0,0.3321836994009802,0.0,0.0,-1830.0,-0.3321836994009802
family_relationships,777.0,0.14104193138500634,340.0,0.06171719005264113,-437.0,-0.07932474133236521
everyday_life,657.0,0.1192593937193683,216.0,0.039208567798148485,-441.0,-0.08005082592121981
education_children,636.0,0.11544744962788164,636.0,0.11544744962788164,0.0,0.0
politics_power,607.0,0.11018333635868578,620.0,0.11254311127246325,13.0,0.0023597749137774654
work_professions,401.0,0.07278998003267381,261.0,0.047377019422762755,-140.0,-0.025412960609911057
it_internet,270.0,0.04901070974768561,298.0,0.05409330186966781,28.0,0.005082592121982206
character_cycles,247.0,0.04483572336177165,0.0,0.0,-247.0,-0.04483572336177165
army_police,245.0,0.044472681067344345,101.0,0.01833363586857869,-144.0,-0.026139045198765656
animals,111.0,0.020148847340715193,129.0,0.023416227990560902,18.0,0.0032673806498457088
sex_gender,0.0,0.0,601.0,0.10909420947540388,601.0,0.10909420947540388
literature_folklore_characters,0.0,0.0,397.0,0.0720638954438192,397.0,0.0720638954438192
transport,0.0,0.0,356.0,0.06462152840805954,356.0,0.06462152840805954
media_popculture,0.0,0.0,281.0,0.05100744236703576,281.0,0.05100744236703576
absurd_philosophy,0.0,0.0,261.0,0.047377019422762755,261.0,0.047377019422762755
health_medicine,0.0,0.0,239.0,0.043383554184062444,239.0,0.043383554184062444
finance_economy,0.0,0.0,184.0,0.03339989108731167,184.0,0.03339989108731167
alcohol_smoking_drugs,0.0,0.0,171.0,0.031040116173534218,171.0,0.031040116173534218
law_crime,0.0,0.0,159.0,0.02886186240697041,159.0,0.02886186240697041
cities_places,0.0,0.0,147.0,0.026683608640406607,147.0,0.026683608640406607
religion_holidays,0.0,0.0,146.0,0.026502087493192956,146.0,0.026502087493192956
sport,0.0,0.0,136.0,0.02468687602105645,136.0,0.02468687602105645
consumer_services,0.0,0.0,109.0,0.019785805046287894,109.0,0.019785805046287894
covid_pandemic,0.0,0.0,102.0,0.01851515701579234,102.0,0.01851515701579234
textual_forms,0.0,0.0,70.0,0.012706480304955527,70.0,0.012706480304955527
science_space,0.0,0.0,65.0,0.011798874568887275,65.0,0.011798874568887275
food_diet,0.0,0.0,46.0,0.008349972771827918,46.0,0.008349972771827918
ethnic_regional,0.0,0.0,43.0,0.0078054093301869664,43.0,0.0078054093301869664
soviet_history_politics,0.0,0.0,16.0,0.0029043383554184063,16.0,0.0029043383554184063
